,State-County,"1st, 2nd, 3rd","votes1, votes2, votes3","pct1, pct2, pct3","party1, party2, party3"
0,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
1,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
2,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
3,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
4,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
5,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
6,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
7,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
8,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
9,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
10,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
11,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
12,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
13,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
14,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
15,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
16,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
17,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
18,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
19,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
20,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
21,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
22,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
23,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
24,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
25,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
26,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
27,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
28,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
29,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
30,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
31,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
32,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
33,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
34,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
35,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
36,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
37,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
38,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
39,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
40,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
41,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
42,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
43,Alabama - Warren,Bush / Gore / Browne,22172 / 16543 / 2086,54.3% / 40.6% / 5.1%,Republican / Democratic / Independent
